Type,id,location,integer_decisions,transforms--constraints--BalanceConstraint,transforms--timedata,transforms--efficiency_rate,edges--elec_edge--commodity,edges--elec_edge--start_vertex,edges--elec_edge--has_capacity,edges--h2_edge--commodity,edges--h2_edge--end_vertex,edges--h2_edge--has_capacity,edges--h2_edge--can_expand,edges--h2_edge--can_retire,edges--h2_edge--existing_capacity,edges--h2_edge--capacity_size,edges--h2_edge--integer_decisions,edges--h2_edge--investment_cost,edges--h2_edge--fixed_om_cost,edges--h2_edge--variable_om_cost,edges--h2_edge--wacc,edges--h2_edge--lifetime,edges--h2_edge--capital_recovery_period,edges--h2_edge--min_flow_fraction,edges--h2_edge--ramp_up_fraction,edges--h2_edge--ramp_down_fraction,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--constraints--MinFlowConstraint
Electrolyzer,Region12Anhui_ALK_Electrolyzer,Region12Anhui,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region12Anhui,FALSE,Hydrogen,h2_Region12Anhui,TRUE,TRUE,TRUE,10,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region13Fujian_ALK_Electrolyzer,Region13Fujian,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region13Fujian,FALSE,Hydrogen,h2_Region13Fujian,TRUE,TRUE,TRUE,1,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region14Jiangxi_ALK_Electrolyzer,Region14Jiangxi,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region14Jiangxi,FALSE,Hydrogen,h2_Region14Jiangxi,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region15Shandong_ALK_Electrolyzer,Region15Shandong,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region15Shandong,FALSE,Hydrogen,h2_Region15Shandong,TRUE,TRUE,TRUE,56,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region16Henan_ALK_Electrolyzer,Region16Henan,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region16Henan,FALSE,Hydrogen,h2_Region16Henan,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region17Hubei_ALK_Electrolyzer,Region17Hubei,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region17Hubei,FALSE,Hydrogen,h2_Region17Hubei,TRUE,TRUE,TRUE,40,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region18Hunan_ALK_Electrolyzer,Region18Hunan,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region18Hunan,FALSE,Hydrogen,h2_Region18Hunan,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region19Guangdong_ALK_Electrolyzer,Region19Guangdong,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region19Guangdong,FALSE,Hydrogen,h2_Region19Guangdong,TRUE,TRUE,TRUE,10,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region20Guangxi_ALK_Electrolyzer,Region20Guangxi,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region20Guangxi,FALSE,Hydrogen,h2_Region20Guangxi,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region21Hainan_ALK_Electrolyzer,Region21Hainan,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region21Hainan,FALSE,Hydrogen,h2_Region21Hainan,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region22Chongqing_ALK_Electrolyzer,Region22Chongqing,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region22Chongqing,FALSE,Hydrogen,h2_Region22Chongqing,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region23Sichuan_ALK_Electrolyzer,Region23Sichuan,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region23Sichuan,FALSE,Hydrogen,h2_Region23Sichuan,TRUE,TRUE,TRUE,2.5,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region24Guizhou_ALK_Electrolyzer,Region24Guizhou,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region24Guizhou,FALSE,Hydrogen,h2_Region24Guizhou,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region25Yunnan_ALK_Electrolyzer,Region25Yunnan,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region25Yunnan,FALSE,Hydrogen,h2_Region25Yunnan,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region26Tibet_ALK_Electrolyzer,Region26Tibet,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region26Tibet,FALSE,Hydrogen,h2_Region26Tibet,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region27Shaanxi_ALK_Electrolyzer,Region27Shaanxi,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region27Shaanxi,FALSE,Hydrogen,h2_Region27Shaanxi,TRUE,TRUE,TRUE,15,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region28Gansu_ALK_Electrolyzer,Region28Gansu,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region28Gansu,FALSE,Hydrogen,h2_Region28Gansu,TRUE,TRUE,TRUE,35,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region29Qinghai_ALK_Electrolyzer,Region29Qinghai,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region29Qinghai,FALSE,Hydrogen,h2_Region29Qinghai,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region30Ningxia_ALK_Electrolyzer,Region30Ningxia,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region30Ningxia,FALSE,Hydrogen,h2_Region30Ningxia,TRUE,TRUE,TRUE,117,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region31Xinjiang_ALK_Electrolyzer,Region31Xinjiang,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region31Xinjiang,FALSE,Hydrogen,h2_Region31Xinjiang,TRUE,TRUE,TRUE,1265,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
